island_id,start_location,end_location,peak_amplitude,average_y,pattern_width,center_location,mean_slope,max_slope,area_under_curve,distance_difference,date,global_id,match_confidence,risk_score
1,131948.2,131992.8,4.690214381472458,4.280957362765241,44.59999999997672,131964.8686868687,0.048486487760920675,0.11345342943012698,191.23219387600707,0.060124594820038624,2020-12-03,IS_0001,1.0,0.15203144327955556
3,147353.0,147406.2,6.5208322528704095,5.445144029116017,53.20000000001164,147378.25656565657,0.1193282851033021,0.28207784754443654,290.80360314200107,0.4956991260764667,2020-12-03,IS_0003,1.0,0.23976662553824182
4,148616.0,148675.4,3.7655378594758115,3.438491298183516,59.39999999999418,148629.2,0.020358613061727746,0.05494895135471278,204.28376020803816,0.015681599037257854,2020-12-03,IS_0004,1.0,0.21560463033700464
5,154408.4,154444.4,6.169190690070939,5.559419149427763,36.0,154430.58181818182,0.09131311517222968,0.2117578729760497,200.51349454815386,0.17547685464311513,2020-12-03,IS_0005,1.0,0.1833656948800088
6,158564.6,158602.2,3.939929711181752,3.7354553676972233,37.60000000000582,158589.28686868688,0.02743304587005964,0.06510394510997652,140.57093129297334,0.015341093627682767,2020-12-03,IS_0006,1.0,0.1979819885237083
7,166985.8,167026.6,3.422646555774448,3.2687938792154245,40.80000000001746,166985.8,0.00602321697946909,0.010625446822807912,133.35389287156423,0.00014400454367091697,2020-12-03,IS_0007,1.0,0.20928921100593
8,188974.0,189011.6,6.093471846138798,5.503331968292864,37.60000000000582,189000.58585858587,0.07226183105371523,0.17322875016989428,207.21642468383317,0.0931931868436493,2020-12-03,IS_0008,1.0,0.177447262216948
9,191702.4,191739.8,5.49166745179351,5.08343292491373,37.39999999999418,191722.04444444444,0.0644768291595434,0.13416947135885354,190.42017624501852,0.10076292168388079,2020-12-03,IS_0009,1.0,0.17211590745126043
11,192749.8,192789.6,3.6797055297799024,3.5726291133505765,39.80000000001746,192758.64444444445,0.010910993378240728,0.025802514122363313,142.23487000996818,0.0018243755886047097,2020-12-03,IS_0011,1.0,0.20631474796189536
12,193148.2,193202.0,5.802449194612211,4.972447498901725,53.79999999998836,193173.74141414143,0.09120993184619834,0.1818865802983706,268.39566098205825,0.28993588936940284,2020-12-03,IS_0012,1.0,0.1778533590687118
13,194567.6,194629.4,5.542528799681965,4.777353237048861,61.79999999998836,194605.67878787877,0.06574992464232536,0.16263916875437395,296.02793318184706,0.1685227952367967,2020-12-03,IS_0013,1.0,0.17041144764238636
14,194716.8,194755.2,6.48622290931,5.917662797666784,38.40000000002328,194734.64242424243,0.08692350525478444,0.18454158758165282,227.66291822667785,0.18641189389639834,2020-12-03,IS_0014,1.0,0.1707414327840465
2,145863.8,145898.6,4.130812344704123,4.014715141738208,34.80000000001746,145879.26666666666,0.019354171109200836,0.042072920995823146,139.78929011587581,0.008313906681635785,2020-12-03,IS_0053,0.900689655172544,0.1909135564270977
10,192579.8,192616.2,4.001533227519964,3.693689176218707,36.40000000002328,192597.4484848485,0.050151260830202424,0.10215314885434919,134.6716104513507,0.0596330355014274,2020-12-03,IS_0084,1.0,0.19903485876418203
2,147343.8,147396.8,6.493654328057079,5.404605492368279,53.0,147367.35555555555,0.11925270992434914,0.28073942567252275,287.547578771465,0.48929885547875784,2021-01-28,IS_0016,1.0,0.24493448835542764
3,148606.0,148665.4,3.6329191967761854,3.3102328280818565,59.39999999999418,148618.6,0.019567305500938686,0.051933238203909965,196.66407160469095,0.01430694131440191,2021-01-28,IS_0017,1.0,0.21843172883089246
4,154398.8,154435.0,5.967029272177126,5.363128136034278,36.20000000001164,154421.4707070707,0.0891504716780075,0.2076083501479295,194.5129065851161,0.1664541811509821,2021-01-28,IS_0018,1.0,0.18216097755375482
5,166976.8,167017.6,3.609307276111928,3.321892130080607,40.80000000001746,166976.8,0.010283392142847483,0.023842183265832137,135.49240600273495,0.0014404431899919246,2021-01-28,IS_0019,1.0,0.20198062152985055
6,188964.0,189001.8,5.730121675797599,5.221968679642819,37.79999999998836,188989.19999999998,0.06639914887764008,0.15822736955446873,197.67460197553214,0.08753146275381596,2021-01-28,IS_0020,1.0,0.17628369136825697
7,191692.6,191730.0,5.699623332233637,5.223732479425675,37.39999999999418,191714.13333333333,0.07246031023563516,0.16143840886740704,195.6981819561029,0.12239759153434449,2021-01-28,IS_0021,1.0,0.16806079032563917
8,192740.2,192779.6,3.533871108325023,3.420175113748459,39.39999999999418,192747.76161616162,0.011031802832725061,0.025666181774913057,134.79617086509785,0.001637219741731144,2021-01-28,IS_0022,1.0,0.198206864264953
9,193454.4,193492.2,6.026749533493333,5.657318775689387,37.80000000001746,193474.25454545455,0.057740425848374716,0.12005622931994032,214.12091803438776,0.08173085219794984,2021-01-28,IS_0023,1.0,0.1773956792957057
10,194557.4,194618.6,5.21675968120003,4.534867866141228,61.20000000001164,194592.0181818182,0.0638159074660144,0.1469452748451343,278.3158493632961,0.16089170311377643,2021-01-28,IS_0024,1.0,0.16600867894824042
11,194688.4,194744.2,6.490546044909,5.370120011799709,55.80000000001746,194724.47272727275,0.10132785063222706,0.23729317694980695,300.6109978670739,0.3418690955669561,2021-01-28,IS_0025,1.0,0.23037124400354525
1,145853.8,145888.6,4.199987099829885,4.0678627571715005,34.80000000001746,145869.9696969697,0.02231596340198032,0.047203764081029956,141.65123231730465,0.011199640977267222,2021-01-28,IS_0068,0.9862068965515972,0.20762376019337037
2,147352.8,147405.6,6.452344719606232,5.345492245028112,52.80000000001746,147376.26666666666,0.12132333988593595,0.29285814595219833,283.35458971334197,0.5062108226400426,2021-04-22,IS_0003,0.9995454545454239,0.24578048775137168
3,148615.2,148674.4,3.534972917728145,3.241003983614105,59.19999999998254,148627.7575757576,0.017779993148109387,0.04569648163618566,191.89083086991673,0.01170354262215767,2021-04-22,IS_0004,0.9972972972973358,0.21993450103696774
4,154408.4,154444.2,5.790755303374962,5.227097981257544,35.80000000001746,154430.45858585858,0.0852373702601513,0.19724202219505174,187.47654897490202,0.15291775460426038,2021-04-22,IS_0005,1.0,0.18208342464336102
5,166987.2,167028.0,3.5232611131160576,3.2801115019080647,40.79999999998836,166987.2,0.008644954666236153,0.01940572525650858,133.79723636771945,0.0008487727440495973,2021-04-22,IS_0007,0.9903921568626225,0.20302748597413475
7,191702.4,191740.0,5.575617656831715,5.097886868994023,37.60000000000582,191724.80808080808,0.07089046672502325,0.16092587834069602,192.0037912768209,0.11515322145655205,2021-04-22,IS_0009,1.0,0.17115386261578008
8,192750.6,192790.4,3.614919391120022,3.512859326275273,39.79999999998836,192760.65050505052,0.010968948785664203,0.026180123660513574,139.85846685109246,0.0020307385439650716,2021-04-22,IS_0011,0.9967839195979656,0.19845547369313077
11,194567.8,194629.4,5.559422002396925,4.789704960753821,61.60000000000582,194604.5111111111,0.06867842505045324,0.17235621325585312,295.87947465910327,0.18758708433448845,2021-04-22,IS_0013,1.0,0.22139420991430936
9,0.0,193306.0,4.542805371482662,-2047.2068989678255,193306.0,0.0,0.032489908737165195,0.06433127706588448,-399784234.247995,133.2318083010905,2021-04-22,IS_0027,1.0,0.7670625530647838
6,188934.4,189012.8,6.4770479463267625,4.653786844719715,78.39999999999418,189001.71313131312,0.055464574423439154,0.12215436032357993,364.8348993715393,0.12083070453327593,2021-04-22,IS_0028,1.0,0.18266821250080684
10,193465.0,193502.8,6.583591501179729,6.151881028850523,37.79999999998836,193485.61818181816,0.0666831735791293,0.14329075279378986,232.85594139980043,0.10761381404969228,2021-04-22,IS_0029,1.0,0.3506550341778508
12,194699.2,194755.2,7.315029167932072,6.124455450861353,56.0,194732.57373737375,0.11694731582579802,0.26987284620274066,344.14317326867285,0.47966530687076414,2021-04-22,IS_0030,1.0,0.24504675293871941
1,145862.6,145897.4,4.120147066395925,3.988910148205994,34.79999999998836,145878.76969696968,0.022167711649019223,0.04687954439471595,138.90309033999333,0.011052396423679056,2021-04-22,IS_0053,0.9503448275862304,0.20674572925232632
2,147353.8,147406.8,6.354100246888851,5.269337695157733,53.0,147377.35555555555,0.11877291518108933,0.2824986238114404,280.37389943516644,0.4863381732704539,2021-05-20,IS_0003,0.9981886792453797,0.2458588138927556
3,148615.8,148675.0,3.629118475768829,3.3432544048732376,59.20000000001164,148628.95555555556,0.0174958821073957,0.04752955302518123,197.95933788715342,0.011479029169038313,2021-05-20,IS_0004,0.999729729729718,0.21914282575677657
4,154408.2,154444.2,5.795140637971436,5.235752398274904,36.0,154430.0181818182,0.08495543878121788,0.1955099168376562,188.83823918784205,0.15453303827940346,2021-05-20,IS_0005,0.9997777777778166,0.18170548482302185
5,166987.8,167028.4,3.5240078712950003,3.308506947749136,40.60000000000582,166987.8,0.007708309021515381,0.017052991072240814,134.29872179378037,0.0006244341876637804,2021-05-20,IS_0007,0.9822660098523339,0.20310927974627535
7,191704.2,191741.4,5.6170020981498885,5.137093095980912,37.19999999998254,191725.99393939393,0.07215113552050183,0.1634957197001166,191.42229053931177,0.11829488073638572,2021-05-20,IS_0009,0.9845161290320442,0.17062927194799674
9,193149.6,193203.4,6.116632102321527,5.234661310391062,53.79999999998836,193173.51111111112,0.09515294802663503,0.19401991243158662,282.5321249905163,0.311168498281269,2021-05-20,IS_0012,0.9927137546468991,0.17634696867512967
10,194568.4,194630.4,5.495664590876924,4.746572532393372,62.0,194605.97575757574,0.06527106007189143,0.164157175491693,295.0822503087302,0.16921279128688127,2021-05-20,IS_0013,0.9974110032362832,0.17032139119029405
11,194699.8,194755.8,7.209673844424947,6.033805465055728,56.0,194733.73939393938,0.11314584308675102,0.26221877580870706,339.01514612179795,0.4437888160151999,2021-05-20,IS_0030,0.9987142857143855,0.2281449940780153
6,188914.4,189012.6,6.06634693961095,4.442325094926785,98.20000000001164,189001.6888888889,0.03446440818878474,0.09250064949177399,436.0845663284398,0.07231131570506477,2021-05-20,IS_0031,1.0,0.18283425760966882
8,192733.2,192791.4,3.741786208864703,3.5315790396014144,58.19999999998254,192759.65454545454,0.02108452723608538,0.06137250673286971,205.7738940379707,0.018091368031861066,2021-05-20,IS_0032,1.0,0.1948832706178091
1,145864.6,145899.6,4.10331255156425,3.9757358111731254,35.0,145880.86262626262,0.021415135026562275,0.04536070986031217,139.2377113685542,0.010367395660864531,2021-05-20,IS_0085,1.0,0.2067559307823119
2,147353.0,147405.6,6.409390129838891,5.32267214103745,52.60000000000582,147376.3777777778,0.11969220866472881,0.2880610423895885,281.0625597163817,0.49092981590375473,2021-06-17,IS_0003,1.0,0.2460159144235003
3,154408.2,154443.8,5.76048117905251,5.208260754826839,35.59999999997672,154430.13535353536,0.08431730712784208,0.19470438001190168,185.75370214103123,0.1494734059977887,2021-06-17,IS_0005,0.9993258426966811,0.1899476875266351
4,166986.0,167026.8,3.5158635621038323,3.2760110574494843,40.79999999998836,166986.0,0.008892739093672233,0.021202928405984745,133.62174541937344,0.001351048897987539,2021-06-17,IS_0007,0.9998039215686331,0.2053412650743804
6,191703.4,191740.8,5.393413931763072,4.947826503983714,37.39999999999418,191725.3111111111,0.0669869785041855,0.15109518167519453,185.35224770574226,0.10322608736318273,2021-06-17,IS_0009,0.9946524064171115,0.17262660958089387
10,194568.2,194629.8,5.41431832403273,4.676546273884295,61.59999999997672,194605.53333333333,0.06506607951296134,0.16435594557110955,288.85978685580585,0.16781020642329736,2021-06-17,IS_0013,0.9992207792207827,0.17246472116272518
9,193465.6,193502.8,6.460602586704815,5.893342548082984,37.19999999998254,193488.5212121212,0.08202444315830848,0.1904265324192571,219.59096108760352,0.14609166622499714,2021-06-17,IS_0029,1.0,0.1812446501958595
11,194699.8,194755.2,5.467265094136543,4.663232842938408,55.40000000002328,194735.05454545454,0.07312756538470168,0.17948714455543477,259.0241521174692,0.18072788137762785,2021-06-17,IS_0030,1.0,0.16847604196996682
7,192732.6,192790.6,3.777724363993317,3.575545216623877,58.0,192759.5494949495,0.020489860067165244,0.05923676735981081,207.61018784641078,0.01697103915338971,2021-06-17,IS_0032,0.9983448275862149,0.1951622409507607
5,188914.4,189032.8,6.218057734886766,4.46749379116655,118.39999999999418,189000.5090909091,0.05534147864595863,0.19218465289866898,530.3074822223451,0.30379531300027907,2021-06-17,IS_0033,1.0,0.17984853088338673
8,193168.4,193202.8,4.099991384278992,3.8021206205690685,34.39999999999418,193185.42626262625,0.051424623440384704,0.1028409994763626,130.9957954888693,0.05934191698049318,2021-06-17,IS_0034,1.0,0.20691668228871685
1,145864.0,145898.8,4.231158944758313,4.091726521458409,34.79999999998836,145880.16969696968,0.023600098938487662,0.049614312961854694,142.48694609151045,0.012551265669273448,2021-06-17,IS_0086,1.0,0.2076457371128848
2,147353.6,147406.2,6.543687113340541,5.421563837049964,52.60000000000582,147376.9777777778,0.1235110993111987,0.2986834654552147,286.29860631117765,0.5227858671562444,2021-07-15,IS_0003,1.0,0.245704425881829
3,154408.6,154444.6,5.811654336650458,5.2586024141898475,36.0,154430.41818181818,0.08390534872787442,0.19321374554651655,189.65627753629295,0.15056161745755503,2021-07-15,IS_0005,0.9997777777777519,0.18933587249370526
4,166987.4,167028.4,3.479126653960225,3.24581335012377,41.0,166987.4,0.008333693541866007,0.01778013572022949,133.05132042735863,0.0006231162215044606,2021-07-15,IS_0007,0.9858823529412225,0.20567071528375375
6,191704.0,191741.4,5.240236523467182,4.818335015616044,37.39999999999418,191725.9111111111,0.06334935934654168,0.14304092484586897,180.49257602572834,0.0922163975439858,2021-07-15,IS_0009,0.9863101604277058,0.16732397217117106
8,193150.4,193204.0,6.229251070456684,5.321758790726427,53.60000000000582,193175.30505050503,0.09953136949936267,0.2003706336438972,286.19449928292386,0.3421926015375618,2021-07-15,IS_0012,0.9835820895523709,0.17777257230114965
9,194568.8,194630.4,5.596799200498069,4.800667728690808,61.60000000000582,194606.13333333333,0.06990267051922455,0.17668007531779922,296.56195447584093,0.1932438598893924,2021-07-15,IS_0013,0.9961038961039531,0.1692276682769685
10,194700.4,194756.0,6.175519870113787,5.19422528068154,55.60000000000582,194735.78181818183,0.08929876084808348,0.20717007378834001,289.6388746163491,0.2643828585414312,2021-07-15,IS_0030,0.996546762590029,0.16910729491355486
5,188915.4,189013.6,6.063809240223104,4.458358728105335,98.20000000001164,189000.70505050506,0.03806538248471913,0.12114771015786074,437.7667413919386,0.09918284270156619,2021-07-15,IS_0031,0.9979633401221998,0.18190786105656276
7,192733.8,192792.0,3.7225212263604694,3.5208198404706708,58.20000000001164,192760.25454545455,0.02026623599311475,0.057806687208138266,205.1387320852276,0.0165770822755249,2021-07-15,IS_0032,0.9987628865979737,0.1940976839962945
1,145864.8,145899.6,4.164055624513922,4.033910576539403,34.80000000001746,145881.67272727273,0.02219081734116215,0.04500938909307566,140.469615160939,0.01117949797119877,2021-07-15,IS_0086,0.9963218390804318,0.20736569943859015
2,147343.6,147396.4,7.253717111199312,6.072556078424121,52.79999999998836,147368.13333333333,0.13134490350308056,0.3141405277081005,321.8442781533636,0.5949891722671268,2021-08-12,IS_0016,0.9996969696970005,0.24407525000938854
3,148605.6,148665.0,3.7607266850947263,3.461071395048289,59.39999999999418,148619.4,0.018985855211403755,0.053648799961662434,205.63573155148654,0.013854848875055836,2021-08-12,IS_0017,0.999461279461295,0.21712975869560747
4,154398.8,154435.0,6.1692002175726675,5.569445421804314,36.20000000001164,154421.10505050505,0.09003269084039095,0.20793181766038654,201.988836166881,0.17310938138002285,2021-08-12,IS_0018,1.0,0.18352100183591108
6,166978.2,167019.2,3.663514246679931,3.3526764469128487,41.0,166978.2,0.011040344267255545,0.025450296775340282,137.41628394830576,0.001610390010341689,2021-08-12,IS_0019,0.9890196078429194,0.20684446690431435
8,191692.2,191729.8,4.601053136956653,4.278038214901193,37.59999999997672,191712.70909090908,0.050210816873543875,0.10764923942534457,161.08894658384622,0.06084030482236358,2021-08-12,IS_0021,0.9995721925133503,0.16206669829931042
14,194557.0,194618.8,5.617550730901992,4.854278268458156,61.79999999998836,194593.20606060605,0.06902772557560312,0.17002008344922676,300.84564627425635,0.19060938362893864,2021-08-12,IS_0024,1.0,0.16377820670062776
15,194688.2,194744.4,6.220779884626954,5.260876593425198,56.19999999998254,194723.96363636362,0.08797842892630302,0.2107736691300323,296.5163850188282,0.26564094031354557,2021-08-12,IS_0025,1.0,0.16786976830652978
5,158554.4,158592.6,4.134689501092062,3.8425784349043295,38.20000000001164,158584.11111111112,0.031164081237101217,0.07376917585655031,146.90339818559215,0.014395862562331274,2021-08-12,IS_0035,1.0,0.20034230963244692
7,188905.2,189003.4,5.811427754986825,4.260539043048502,98.19999999998254,188991.49696969698,0.0401640340861153,0.10219417888565595,418.115385114419,0.10216142001519302,2021-08-12,IS_0036,1.0,0.18226423712589096
9,192721.8,192779.8,3.878002533480291,3.6579904720466065,58.0,192748.74949494947,0.022350443968451348,0.06114445442232939,212.41302644828443,0.019792477595309776,2021-08-12,IS_0037,1.0,0.1910943680457048
10,193138.2,193192.0,6.320215917057929,5.3925089428091,53.79999999998836,193162.11111111112,0.09990800562955773,0.2012509835871786,291.06879776160235,0.3420341298962839,2021-08-12,IS_0038,1.0,0.17769836896778263
11,193275.2,193315.0,4.712532798425049,4.181924400878537,39.79999999998836,193314.19595959596,0.04047416860522949,0.08223988378052635,166.55206999755413,0.011559420512348595,2021-08-12,IS_0039,1.0,0.16172857944478766
12,193691.4,194103.6,5.02001630309072,4.5696612435655375,412.20000000001164,193887.0909090909,0.006465742683862365,0.013348386285505639,1887.2692329106808,0.01121465676715161,2021-08-12,IS_0040,1.0,0.16573522307133431
13,194255.0,194292.2,4.756451809367879,4.295488038368211,37.20000000001164,194274.5393939394,0.07323444088421519,0.15201923263040562,160.1291442820587,0.12929773517011256,2021-08-12,IS_0041,1.0,0.15993613734300557
1,145854.6,145889.4,4.285236308270938,4.145298546331752,34.79999999998836,145870.41818181818,0.023593656548623113,0.05017623856144743,144.35102394003817,0.012490775461778014,2021-08-12,IS_0068,0.9678160919538115,0.20823616752812218
1,147353.2,147406.2,6.669346582482569,5.5962712501750245,53.0,147377.82626262627,0.11896554337265279,0.2871837063619647,297.71020519818535,0.49190929938981043,2021-11-04,IS_0003,1.0,0.25922921872767096
2,148615.6,148675.0,3.699169580318793,3.4290574565220213,59.39999999999418,148629.4,0.017675278881649648,0.04957270781466709,203.72127341482243,0.01208545471951794,2021-11-04,IS_0004,0.999461279461295,0.2224804193051771
3,154408.4,154444.4,5.816593012327698,5.273713998705687,36.0,154429.85454545455,0.08371115516936366,0.19073916933096585,190.2026996059387,0.1527030202739681,2021-11-04,IS_0005,1.0,0.18220039607071514
4,158565.6,158602.8,4.478553230792778,4.2377613441093045,37.19999999998254,158590.4,0.03238816398198478,0.07699659861937024,157.78012257496025,0.020918864244087843,2021-11-04,IS_0006,0.9967741935485107,0.16602157313380592
5,166988.0,167029.0,3.523103919098774,3.2521694947455426,41.0,166988.0,0.009690188773500056,0.022633510909601896,133.2991746387335,0.0013495146358266652,2021-11-04,IS_0007,0.9741176470587604,0.1979586743618842
7,191703.4,191741.2,4.882013075579704,4.5411620182799375,37.80000000001746,191721.72727272726,0.05343729178360772,0.10945670160713657,171.91012176513706,0.0702279681564093,2021-11-04,IS_0009,0.9925133689838316,0.16156067414377862
10,193149.4,193203.4,6.436338750480372,5.523264516755212,54.0,193173.94545454544,0.09887927936717679,0.2030069314374269,299.2098687774435,0.33930073115667625,2021-11-04,IS_0012,0.9937546468402642,0.18207111191274494
12,194566.6,194628.4,5.410235848337603,4.6837266540555245,61.79999999998836,194604.05454545454,0.06290896917153767,0.1708504159380252,290.210942179796,0.1612403599441663,2021-11-04,IS_0013,0.9967637540453068,0.18961638324838853
11,193465.8,193503.2,6.7305545442086085,6.210917631987899,37.40000000002328,193488.0888888889,0.07710383104097387,0.1757234020298717,232.63519166783024,0.134641126928706,2021-11-04,IS_0029,0.9982887700534023,0.23853688810191362
