date,event,global_id,location,parent_id,child_ids,parent_ids,new_id
2020-12-03,new,IS_0001,131948.2-131992.8m,,,,
2020-12-03,new,IS_0002,145863.8-145898.6m,,,,
2020-12-03,new,IS_0003,147353.0-147406.2m,,,,
2020-12-03,new,IS_0004,148616.0-148675.4m,,,,
2020-12-03,new,IS_0005,154408.4-154444.4m,,,,
2020-12-03,new,IS_0006,158564.6-158602.2m,,,,
2020-12-03,new,IS_0007,166985.8-167026.6m,,,,
2020-12-03,new,IS_0008,188974.0-189011.6m,,,,
2020-12-03,new,IS_0009,191702.4-191739.8m,,,,
2020-12-03,new,IS_0010,192579.8-192616.2m,,,,
2020-12-03,new,IS_0011,192749.8-192789.6m,,,,
2020-12-03,new,IS_0012,193148.2-193202.0m,,,,
2020-12-03,new,IS_0013,194567.6-194629.4m,,,,
2020-12-03,new,IS_0014,194716.8-194755.2m,,,,
2021-01-28,new,IS_0015,145853.8-145888.6m,,,,
2021-01-28,new,IS_0016,147343.8-147396.8m,,,,
2021-01-28,new,IS_0017,148606.0-148665.4m,,,,
2021-01-28,new,IS_0018,154398.8-154435.0m,,,,
2021-01-28,new,IS_0019,166976.8-167017.6m,,,,
2021-01-28,new,IS_0020,188964.0-189001.8m,,,,
2021-01-28,new,IS_0021,191692.6-191730.0m,,,,
2021-01-28,new,IS_0022,192740.2-192779.6m,,,,
2021-01-28,new,IS_0023,193454.4-193492.2m,,,,
2021-01-28,new,IS_0024,194557.4-194618.6m,,,,
2021-01-28,new,IS_0025,194688.4-194744.2m,,,,
2021-04-22,new,IS_0026,145862.6-145897.4m,,,,
2021-04-22,new,IS_0027,0.0-193306.0m,,,,
2021-04-22,split,,,IS_0002,"['IS_0026', 'IS_0027']",,
2021-04-22,new,IS_0028,188934.4-189012.8m,,,,
2021-04-22,new,IS_0029,193465.0-193502.8m,,,,
2021-04-22,new,IS_0030,194699.2-194755.2m,,,,
2021-05-20,new,IS_0031,188914.4-189012.6m,,,,
2021-05-20,new,IS_0032,192733.2-192791.4m,,,,
2021-06-17,new,IS_0033,188914.4-189032.8m,,,,
2021-06-17,new,IS_0034,193168.4-193202.8m,,,,
2021-08-12,new,IS_0035,158554.4-158592.6m,,,,
2021-08-12,new,IS_0036,188905.2-189003.4m,,,,
2021-08-12,new,IS_0037,192721.8-192779.8m,,,,
2021-08-12,new,IS_0038,193138.2-193192.0m,,,,
2021-08-12,new,IS_0039,193275.2-193315.0m,,,,
2021-08-12,new,IS_0040,193691.4-194103.6m,,,,
2021-08-12,new,IS_0041,194255.0-194292.2m,,,,
2022-01-27,new,IS_0042,145854.4-145890.4m,,,,
2022-01-27,new,IS_0043,0.0-193294.4m,,,,
2022-01-27,split,,,IS_0015,"['IS_0042', 'IS_0043']",,
2022-01-27,new,IS_0044,147051.4-147087.2m,,,,
2022-01-27,new,IS_0045,192571.0-192607.4m,,,,
2022-01-27,new,IS_0046,194705.8-194744.6m,,,,
2022-06-16,new,IS_0047,147059.8-147095.6m,,,,
2022-06-16,new,IS_0048,193304.8-193343.8m,,,,
2022-06-16,new,IS_0049,194589.2-194628.0m,,,,
2022-07-14,new,IS_0050,158582.4-158619.4m,,,,
2022-07-14,new,IS_0051,193700.4-194106.8m,,,,
2022-07-14,new,IS_0052,194151.0-194226.2m,,,,
2022-10-06,new,IS_0053,145859.0-145895.0m,,,,
2022-10-06,merge,,,,,"['IS_0026', 'IS_0042']",IS_0053
2022-10-06,new,IS_0054,147055.0-147091.4m,,,,
2022-10-06,merge,,,,,"['IS_0044', 'IS_0047']",IS_0054
2022-10-06,new,IS_0055,192574.8-192611.6m,,,,
2022-10-06,merge,,,,,"['IS_0045', 'IS_0010']",IS_0055
2022-10-06,new,IS_0056,147348.6-147385.0m,,,,
2022-10-06,new,IS_0057,149765.6-149804.6m,,,,
2022-10-06,new,IS_0058,152135.0-152172.0m,,,,
2022-10-06,new,IS_0059,153388.0-153425.6m,,,,
2022-10-06,new,IS_0060,158557.6-158611.8m,,,,
2022-10-06,new,IS_0061,160837.4-160977.4m,,,,
2022-10-06,new,IS_0062,166961.0-167021.6m,,,,
2022-10-06,new,IS_0063,191414.4-191449.6m,,,,
2022-10-06,new,IS_0064,192727.0-192784.4m,,,,
2022-10-06,new,IS_0065,194145.8-194220.4m,,,,
2022-10-06,new,IS_0066,194691.6-194726.4m,,,,
2022-10-06,new,IS_0067,196175.0-196214.0m,,,,
2022-11-03,new,IS_0068,145851.8-145887.4m,,,,
2022-11-03,new,IS_0069,147341.4-147377.2m,,,,
2022-11-03,new,IS_0070,149614.8-149649.8m,,,,
2022-11-03,new,IS_0071,149773.0-149811.2m,,,,
2022-11-03,new,IS_0072,153382.0-153419.4m,,,,
2022-11-03,new,IS_0073,160877.4-160956.6m,,,,
2022-11-03,new,IS_0074,189654.4-189720.2m,,,,
2022-11-03,new,IS_0075,194139.4-194270.8m,,,,
2022-11-03,new,IS_0076,194578.8-194618.4m,,,,
2022-12-01,new,IS_0077,147060.4-147096.6m,,,,
2022-12-01,new,IS_0078,149784.2-149823.2m,,,,
2022-12-01,new,IS_0079,160889.2-160946.2m,,,,
2022-12-01,new,IS_0080,189681.2-189731.4m,,,,
2022-12-01,new,IS_0081,192581.8-192618.4m,,,,
2022-12-01,new,IS_0082,193285.8-193326.4m,,,,
2022-12-01,new,IS_0083,194170.0-194227.2m,,,,
2020-12-03,new,IS_0084,192579.8-192616.2m,,,,
2020-12-03,merge,,,,,"['IS_0081', 'IS_0055']",IS_0084
2021-05-20,new,IS_0085,145864.6-145899.6m,,,,
2021-06-17,new,IS_0086,145864.0-145898.8m,,,,
2021-06-17,merge,,,,,"['IS_0085', 'IS_0053']",IS_0086
2022-01-27,new,IS_0087,192722.8-192780.8m,,,,
2022-01-27,merge,,,,,"['IS_0037', 'IS_0064']",IS_0087
2022-01-27,new,IS_0088,192571.0-192607.4m,,,,
2022-06-16,new,IS_0089,147059.8-147095.6m,,,,
2022-06-16,merge,,,,,"['IS_0077', 'IS_0054']",IS_0089
2022-10-06,new,IS_0090,192574.8-192611.6m,,,,
2022-10-06,merge,,,,,"['IS_0088', 'IS_0084']",IS_0090
2022-12-01,new,IS_0091,192581.8-192618.4m,,,,
